Input Voltage, Input Tau, Long Charge, Short Charge, Amplitude, Pulse length[uSec]
50000,5.1e+08,322.163,312.747,10.6478,0.280064
60000,5.1e+08,494.086,462.405,12.4144,0.403376
70000,5.1e+08,603.771,549.103,13.8294,0.465416
80000,5.1e+08,723.222,638.083,15.4605,0.534824
90000,5.1e+08,795.227,686.864,16.7949,0.552224
100000,5.1e+08,905.478,753.712,18.1895,0.6042
110000,5.1e+08,996.118,813.202,19.5928,0.633576
120000,5.1e+08,1126.88,894.128,21.4831,0.685808
130000,5.1e+08,1173.67,917.879,22.4396,0.687032
140000,5.1e+08,1309,1008.56,24.4293,0.73744
150000,5.1e+08,1392.74,1060.76,25.7767,0.759664
160000,5.1e+08,1474.66,1115.87,27.1917,0.776776
170000,5.1e+08,1576.23,1184.11,28.9135,0.804696
180000,5.1e+08,1628.16,1215.53,29.9223,0.815168
190000,5.1e+08,1730.67,1284.77,31.5659,0.835664
200000,5.1e+08,1836.99,1356.9,33.3213,0.87056
250000,5.1e+08,2262.68,1654.65,40.8253,0.949072
300000,5.1e+08,2665.96,1943.68,48.2742,1.01082
350000,5.1e+08,3056.08,2233.19,55.5358,1.08221
400000,5.1e+08,3483.02,2555.27,63.8384,1.13874
450000,5.1e+08,3845.19,2828.09,70.9265,1.17812
500000,5.1e+08,4222.96,3117.75,78.3494,1.20583
600000,5.1e+08,4989.11,3697.53,93.2261,1.28059
700000,5.1e+08,5733.9,4260.8,107.475,1.33696
800000,5.1e+08,6563.32,4890.23,123.455,1.38869
900000,5.1e+08,7166.78,5348.29,135.431,1.40986
1e+06,5.1e+08,7609.62,5684.02,144.451,1.39735
1.5e+06,5.1e+08,11544.8,8658.69,220.555,1.56306
2e+06,5.1e+08,15413.7,11576.3,295.245,1.69722
2.5e+06,5.1e+08,19159.7,14405.4,368.03,1.76503
3e+06,5.1e+08,23153.6,17418.2,445.475,1.84543
3.5e+06,5.1e+08,26911.8,20259.5,518.497,1.89245
4e+06,5.1e+08,31297.9,23568.1,603.551,1.9873
